axis,algorithm,value,is_shipped,success_rate,avg_env_return_last100,avg_steps_on_success,deaths,timeouts,q_table_states
alpha,q,0.1,False,0.9017,6.0,62.7,0,118,
alpha,q,0.2,True,0.9242,6.0,65.4,0,91,
alpha,q,0.4,False,0.9325,6.0,64.9,0,81,
alpha,sarsa,0.1,False,0.8933,6.0,62.9,0,128,
alpha,sarsa,0.2,True,0.8917,6.0,60.4,0,130,
alpha,sarsa,0.4,False,0.8992,6.0,66.3,0,121,
gamma,q,0.9,False,0.9025,6.0,64.0,0,117,
gamma,q,0.95,True,0.9192,6.0,64.0,0,97,
gamma,q,0.99,False,0.9242,6.0,66.4,0,91,
gamma,sarsa,0.9,False,0.9108,6.0,61.8,0,107,
gamma,sarsa,0.95,True,0.8942,6.0,73.7,0,127,
gamma,sarsa,0.99,False,0.8892,6.0,61.2,0,133,
eps_decay,q,400,False,0.95,6.0,49.6,0,60,
eps_decay,q,700,True,0.9233,6.0,65.5,0,92,
eps_decay,q,1000,False,0.9042,6.0,81.8,0,115,
eps_decay,sarsa,400,False,0.9433,6.0,49.4,0,68,
eps_decay,sarsa,700,True,0.8858,6.0,61.0,0,137,
eps_decay,sarsa,1000,False,0.825,6.0,87.3,0,210,
