episode,env_return,total_return,status
1,1.0,1.0,death
2,1.0,1.0,death
3,3.0,3.0,death
4,2.0,2.0,death
5,5.0,5.0,timeout
6,1.0,1.0,death
7,3.0,3.0,death
8,4.0,4.0,death
9,2.0,2.0,death
10,3.0,3.0,death
11,1.0,1.0,death
12,2.0,2.0,death
13,4.0,4.0,death
14,1.0,1.0,death
15,4.0,4.0,death
16,2.0,2.0,death
17,0.0,0.0,death
18,3.0,3.0,timeout
19,4.0,4.0,timeout
20,2.0,2.0,death
21,5.0,5.0,death
22,3.0,3.0,death
23,5.0,5.0,death
24,3.0,3.0,death
25,4.0,4.0,death
26,3.0,3.0,death
27,1.0,1.0,death
28,4.0,4.0,death
29,4.0,4.0,death
30,6.0,6.0,death
31,8.0,8.0,success
32,0.0,0.0,death
33,4.0,4.0,timeout
34,1.0,1.0,death
35,1.0,1.0,death
36,1.0,1.0,death
37,4.0,4.0,death
38,4.0,4.0,timeout
39,3.0,3.0,timeout
40,3.0,3.0,death
41,2.0,2.0,death
42,3.0,3.0,death
43,3.0,3.0,death
44,3.0,3.0,death
45,2.0,2.0,death
46,6.0,6.0,timeout
47,2.0,2.0,death
48,2.0,2.0,death
49,3.0,3.0,death
50,2.0,2.0,death
51,2.0,2.0,death
52,2.0,2.0,death
53,1.0,1.0,death
54,3.0,3.0,death
55,0.0,0.0,death
56,4.0,4.0,death
57,1.0,1.0,death
58,4.0,4.0,timeout
59,2.0,2.0,death
60,3.0,3.0,timeout
61,3.0,3.0,death
62,3.0,3.0,death
63,1.0,1.0,death
64,2.0,2.0,death
65,0.0,0.0,death
66,3.0,3.0,timeout
67,2.0,2.0,death
68,6.0,6.0,timeout
69,3.0,3.0,timeout
70,3.0,3.0,death
71,1.0,1.0,death
72,3.0,3.0,death
73,3.0,3.0,death
74,2.0,2.0,death
75,2.0,2.0,death
76,1.0,1.0,death
77,1.0,1.0,death
78,0.0,0.0,death
79,0.0,0.0,death
80,3.0,3.0,death
81,2.0,2.0,death
82,4.0,4.0,death
83,2.0,2.0,death
84,3.0,3.0,death
85,2.0,2.0,death
86,4.0,4.0,death
87,1.0,1.0,death
88,1.0,1.0,death
89,0.0,0.0,death
90,5.0,5.0,timeout
91,3.0,3.0,death
92,0.0,0.0,death
93,3.0,3.0,death
94,0.0,0.0,death
95,5.0,5.0,death
96,1.0,1.0,death
97,3.0,3.0,death
