episode,env_return,total_return,status
1,1.0,1.0,success
2,0.0,0.0,death
3,0.0,0.0,death
4,0.0,0.0,death
5,0.0,0.0,death
6,0.0,0.0,death
7,0.0,0.0,death
8,0.0,0.0,death
9,0.0,0.0,death
10,0.0,0.0,death
11,0.0,0.0,death
12,0.0,0.0,death
13,0.0,0.0,death
14,0.0,0.0,death
15,0.0,0.0,death
16,1.0,1.0,success
17,0.0,0.0,death
18,0.0,0.0,death
19,0.0,0.0,death
20,1.0,1.0,success
21,0.0,0.0,death
22,0.0,0.0,death
23,1.0,1.0,success
24,0.0,0.0,death
25,0.0,0.0,death
26,0.0,0.0,timeout
27,0.0,0.0,death
28,0.0,0.0,timeout
29,1.0,1.0,success
30,0.0,0.0,death
31,0.0,0.0,death
32,0.0,0.0,death
33,1.0,1.0,success
34,0.0,0.0,death
35,0.0,0.0,death
36,0.0,0.0,death
37,0.0,0.0,death
38,0.0,0.0,death
39,0.0,0.0,death
40,0.0,0.0,death
41,0.0,0.0,death
42,0.0,0.0,death
43,0.0,0.0,death
44,0.0,0.0,death
45,0.0,0.0,death
46,0.0,0.0,death
47,0.0,0.0,death
48,0.0,0.0,death
49,0.0,0.0,death
50,0.0,0.0,death
51,0.0,0.0,death
52,1.0,1.0,success
53,0.0,0.0,death
54,0.0,0.0,death
55,0.0,0.0,death
56,0.0,0.0,death
57,1.0,1.0,success
58,0.0,0.0,death
59,1.0,1.0,success
60,0.0,0.0,death
61,0.0,0.0,death
62,0.0,0.0,death
63,0.0,0.0,death
64,0.0,0.0,death
65,0.0,0.0,death
66,0.0,0.0,death
67,0.0,0.0,timeout
68,0.0,0.0,death
69,0.0,0.0,death
70,1.0,1.0,success
71,0.0,0.0,death
72,0.0,0.0,death
73,0.0,0.0,death
74,0.0,0.0,death
75,1.0,1.0,success
76,0.0,0.0,death
77,0.0,0.0,death
78,1.0,1.0,success
79,0.0,0.0,death
80,0.0,0.0,timeout
81,1.0,1.0,success
82,0.0,0.0,death
83,0.0,0.0,death
84,0.0,0.0,death
85,0.0,0.0,death
86,0.0,0.0,death
87,1.0,1.0,success
88,0.0,0.0,death
89,1.0,1.0,success
90,0.0,0.0,death
91,1.0,1.0,success
92,0.0,0.0,death
93,0.0,0.0,death
94,0.0,0.0,death
95,0.0,0.0,death
96,0.0,0.0,death
97,0.0,0.0,death
98,0.0,0.0,death
99,1.0,1.0,success
100,0.0,0.0,timeout
101,0.0,0.0,death
102,0.0,0.0,death
103,0.0,0.0,death
104,0.0,0.0,death
105,0.0,0.0,death
106,0.0,0.0,death
107,0.0,0.0,death
108,1.0,1.0,success
109,0.0,0.0,death
110,0.0,0.0,death
111,0.0,0.0,death
112,0.0,0.0,death
113,0.0,0.0,death
114,0.0,0.0,death
115,0.0,0.0,timeout
116,1.0,1.0,success
117,0.0,0.0,death
118,0.0,0.0,death
119,0.0,0.0,death
120,0.0,0.0,death
