level,algorithm,intrinsic,episodes,success_rate,deaths,fire_deaths,monster_deaths,timeouts,avg_return,avg_env_return,avg_env_return_last100,avg_steps_on_success,q_table_states,rollout_alive,rollout_steps
0,q,False,1200,0.9617,0,0,0,46,5.919,5.919,6.0,45.91,8073,True,15
0,sarsa,False,1200,0.9642,0,0,0,43,5.918,5.918,6.0,43.64,8084,True,15
1,q,False,1200,0.555,532,532,0,2,0.555,0.555,0.99,22.31,324,True,19
1,sarsa,False,1200,0.5083,588,588,0,2,0.508,0.508,0.95,24.23,318,True,19
2,q,False,1200,0.9217,0,0,0,94,5.8,5.8,6.0,65.34,8982,True,28
2,sarsa,False,1200,0.8725,0,0,0,153,5.704,5.704,6.0,62.25,8566,True,29
3,q,False,1200,0.6458,361,361,0,64,6.686,6.686,7.91,72.17,10073,True,58
3,sarsa,False,1200,0.6642,325,325,0,78,6.747,6.747,8.0,74.41,10475,True,58
4,q,False,1200,0.63,428,0,428,16,0.633,0.633,0.82,84.98,7209,True,159
4,sarsa,False,1200,0.4783,588,0,588,38,0.478,0.478,0.68,114.16,8202,False,19
5,q,False,1200,0.4767,627,0,627,1,1.984,1.984,2.84,46.73,14300,True,61
5,sarsa,False,1200,0.3933,726,0,726,2,1.851,1.851,2.88,57.72,15890,True,28
6,q,True,1200,0.5575,0,0,0,531,26.792,4.456,4.39,153.77,4868,True,400
6,q,False,1200,0.9675,0,0,0,39,4.942,4.942,5.0,56.09,5302,True,21
6,sarsa,True,1200,0.585,0,0,0,498,21.235,3.842,5.0,53.95,5650,True,21
6,sarsa,False,1200,0.9433,0,0,0,68,4.895,4.895,5.0,51.92,5999,True,21
