name,axis,env,timesteps,seed,mean_reward,std_reward,mean_ep_len,mean_kills,mean_spawners,train_time_sec
baseline,baseline,ArenaEnv,700000,0,94.61,47.02,525.6,13.45,3.15,147.0
no_shaping,reward: shaping,NoShaping,700000,0,156.16,52.35,496.4,13.45,5.4,153.1
no_step_cost,reward: time cost,NoStepCost,700000,0,39.72,34.7,284.8,1.9,2.25,167.4
no_ship_frame,observation,NoShipFrame,700000,0,-17.63,13.8,987.8,0.7,0.45,170.6
baseline,baseline,ArenaEnv,700000,1,130.9,51.3,316.1,7.6,5,166.7
no_shaping,reward: shaping,NoShaping,700000,1,95.74,64.89,726.0,22.55,2.6,167.3
no_step_cost,reward: time cost,NoStepCost,700000,1,32.12,33.44,441.2,6.9,1.65,161.3
no_ship_frame,observation,NoShipFrame,700000,1,21.0,41.74,1200,1.45,1.6,170.1
baseline,baseline,ArenaEnv,700000,2,137.82,67.99,266.9,6.95,5.3,158.0
no_shaping,reward: shaping,NoShaping,700000,2,-16.58,19.65,277.6,5.9,0.25,155.1
no_step_cost,reward: time cost,NoStepCost,700000,2,139.02,45.89,453.1,11.5,4.95,151.7
no_ship_frame,observation,NoShipFrame,700000,2,-21.43,11.06,650.0,0.7,0.6,156.2
